TASKID,Call Start Time,Call Duration (in seconds),Call Owner,Call Owner Id,Subject,Call Type,Call Purpose,Billable,Created Time,Modified Time,CONTACTID,ACCOUNTID,POTENTIALID,LEADID,Call Duration (in minutes),Who Id Id,What Id,SEMODULE
8000309,2021-04-15 23:03:00,420,Lazar Mathew,1003,US INVOICE CALL,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2440,1458,0,,7,,,
400090,2021-04-15 23:03:00,180,Lazar Mathew,1003,US calendar,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2877,,26319,,3,,,
200081,2021-04-15 23:03:00,600,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26688,,10,,,
9000140,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3387,1262,0,,10,,,
10000309,2021-04-15 23:03:00,420,Lazar Mathew,1003,US INVOICE CALL,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2440,1458,0,,7,,,
100082,2021-04-15 23:03:00,180,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,3,,,
3000140,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3387,1262,0,,10,,,
300079,2021-04-15 23:03:00,60,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2972,,26521,,1,,,
700077,2021-04-15 23:03:00,600,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2212,959,0,,10,,,
200082,2021-04-15 23:03:00,180,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,24371,,3,,,
100083,2021-04-15 23:03:00,300,Lazar Mathew,1003,us mail,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3211,2024,0,,5,,,
9000141,2021-04-15 23:03:00,420,Lazar Mathew,1003,US cREATOR,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
2000230,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26808,,5,,,
10000140,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3387,1262,0,,10,,,
6000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
3000141,2021-04-15 23:03:00,420,Lazar Mathew,1003,US cREATOR,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,27113,,7,,,
6000159,2021-04-15 23:03:00,420,Lazar Mathew,1003,US Reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2390,206,0,,7,,,
4000230,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
700078,2021-04-15 23:03:00,60,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,1,,,
2000104,2021-04-15 23:03:00,0,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2456,663,0,,0,,,
6000184,2021-04-15 23:03:00,180,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2445,,0,,3,,,
200083,2021-04-15 23:03:00,300,Lazar Mathew,1003,us mail,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3211,2024,0,,5,,,
100084,2021-04-15 23:03:00,0,Lazar Mathew,1003,us reports,Inbound,Demo,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26783,,0,,,
9000229,2021-04-15 23:03:00,300,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26221,,5,,,
200093,2021-04-15 23:03:00,0,Thomas Mondrake,1009,User wanted to subscribe for ZMail,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3010,1482,0,,0,,,
900090,2021-04-15 23:03:00,180,Lazar Mathew,1003,US calendar,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2877,,26319,,3,,,
10000141,2021-04-15 23:03:00,420,Lazar Mathew,1003,US cREATOR,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
800077,2021-04-15 23:03:00,600,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2212,959,0,,10,,,
700079,2021-04-15 23:03:00,60,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2972,,26521,,1,,,
3000346,2021-04-15 23:03:00,300,Lazar Mathew,1003,us books,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3278,,0,,5,,,
2000105,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
400093,2021-04-15 23:03:00,0,Thomas Mondrake,1009,User wanted to subscribe for ZMail,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3010,1482,0,,0,,,
1000140,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3387,1262,0,,10,,,
800078,2021-04-15 23:03:00,60,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,1,,,
2000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
2000106,2021-04-15 23:03:00,600,Lazar Mathew,1003,US Invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
1000141,2021-04-15 23:03:00,420,Lazar Mathew,1003,US cREATOR,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,3090,7,,,
500077,2021-04-15 23:03:00,600,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2212,959,0,,10,,,
300081,2021-04-15 23:03:00,600,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
9000230,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,25109,,5,,,
800079,2021-04-15 23:03:00,60,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2972,,26521,,1,,,
500078,2021-04-15 23:03:00,60,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26075,,1,,,
700081,2021-04-15 23:03:00,600,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26810,,10,,,
100088,2021-04-15 23:03:00,0,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3229,1392,0,,0,,,
300082,2021-04-15 23:03:00,180,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,3,,,
900093,2021-04-15 23:03:00,0,Thomas Mondrake,1009,User wanted to subscribe for ZMail,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3010,1482,0,,0,,,
4000104,2021-04-15 23:03:00,0,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2456,663,0,,0,,,
700082,2021-04-15 23:03:00,180,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,3,,,
7000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
500079,2021-04-15 23:03:00,60,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2972,,26521,,1,,,
8000140,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3387,1262,0,,10,,,
1000077,2021-04-15 23:03:00,600,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2212,959,0,,10,,,
300083,2021-04-15 23:03:00,300,Lazar Mathew,1003,us mail,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3211,2024,0,,5,,,
4000105,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
700083,2021-04-15 23:03:00,300,Lazar Mathew,1003,us mail,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3211,2024,0,,5,,,
800081,2021-04-15 23:03:00,600,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26010,,10,,,
4000179,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
100090,2021-04-15 23:03:00,180,Lazar Mathew,1003,US calendar,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2877,,26319,,3,,,
8000141,2021-04-15 23:03:00,420,Lazar Mathew,1003,US cREATOR,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
1000229,2021-04-15 23:03:00,300,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,3017,5,,,
1000078,2021-04-15 23:03:00,60,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,1,,,
4000106,2021-04-15 23:03:00,600,Lazar Mathew,1003,US Invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
700084,2021-04-15 23:03:00,0,Lazar Mathew,1003,us reports,Inbound,Demo,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,0,,,
300084,2021-04-15 23:03:00,0,Lazar Mathew,1003,us reports,Inbound,Demo,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,0,,,
800082,2021-04-15 23:03:00,180,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,25804,,3,,,
9000104,2021-04-15 23:03:00,0,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2456,663,0,,0,,,
5000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
1000079,2021-04-15 23:03:00,60,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2972,,26521,,1,,,
1000230,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,2040,5,,,
4000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
800083,2021-04-15 23:03:00,300,Lazar Mathew,1003,us mail,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3211,2024,0,,5,,,
3000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
500081,2021-04-15 23:03:00,600,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
9000105,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,24920,,10,,,
600077,2021-04-15 23:03:00,600,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2212,959,0,,10,,,
5000179,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
9000179,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
100093,2021-04-15 23:03:00,0,Thomas Mondrake,1009,User wanted to subscribe for ZMail,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3010,1482,0,,0,,,
800084,2021-04-15 23:03:00,0,Lazar Mathew,1003,us reports,Inbound,Demo,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,24362,,0,,,
600078,2021-04-15 23:03:00,60,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,1,,,
7000104,2021-04-15 23:03:00,0,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2456,663,0,,0,,,
500082,2021-04-15 23:03:00,180,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,27077,,3,,,
6000104,2021-04-15 23:03:00,0,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2456,663,0,,0,,,
9000106,2021-04-15 23:03:00,600,Lazar Mathew,1003,US Invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
10000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
700088,2021-04-15 23:03:00,0,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3229,1392,0,,0,,,
9000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
4000346,2021-04-15 23:03:00,300,Lazar Mathew,1003,us books,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3278,,0,,5,,,
2000156,2021-04-15 23:03:00,420,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
600079,2021-04-15 23:03:00,60,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2972,,26521,,1,,,
7000105,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
300088,2021-04-15 23:03:00,0,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3229,1392,0,,0,,,
6000105,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
1000179,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,1332,5,,,
500083,2021-04-15 23:03:00,300,Lazar Mathew,1003,us mail,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3211,2024,0,,5,,,
3000179,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
2000179,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
7000106,2021-04-15 23:03:00,600,Lazar Mathew,1003,US Invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
10000179,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
1000081,2021-04-15 23:03:00,600,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,25861,,10,,,
6000106,2021-04-15 23:03:00,600,Lazar Mathew,1003,US Invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26671,,10,,,
400077,2021-04-15 23:03:00,600,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2212,959,0,,10,,,
500084,2021-04-15 23:03:00,0,Lazar Mathew,1003,us reports,Inbound,Demo,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,0,,,
4000184,2021-04-15 23:03:00,180,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2445,,0,,3,,,
400078,2021-04-15 23:03:00,60,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,25983,,1,,,
1000082,2021-04-15 23:03:00,180,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,3,,,
7000229,2021-04-15 23:03:00,300,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
800088,2021-04-15 23:03:00,0,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3229,1392,0,,0,,,
700090,2021-04-15 23:03:00,180,Lazar Mathew,1003,US calendar,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2877,,26319,,3,,,
600081,2021-04-15 23:03:00,600,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
7000156,2021-04-15 23:03:00,420,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26814,,7,,,
3000104,2021-04-15 23:03:00,0,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2456,663,0,,0,,,
400079,2021-04-15 23:03:00,60,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2972,,26521,,1,,,
5000156,2021-04-15 23:03:00,420,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
1000083,2021-04-15 23:03:00,300,Lazar Mathew,1003,us mail,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3211,2024,0,,5,,,
2000159,2021-04-15 23:03:00,420,Lazar Mathew,1003,US Reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2390,206,0,,7,,,
4000156,2021-04-15 23:03:00,420,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,24902,,7,,,
900077,2021-04-15 23:03:00,600,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2212,959,0,,10,,,
600082,2021-04-15 23:03:00,180,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,3,,,
3000229,2021-04-15 23:03:00,300,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26181,,5,,,
300090,2021-04-15 23:03:00,180,Lazar Mathew,1003,US calendar,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2877,,26319,,3,,,
3000105,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
3000156,2021-04-15 23:03:00,420,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
7000179,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
7000230,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,26570,,5,,,
1000380,2021-04-15 23:03:00,1500,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,2264,864,0,,25,,,
900078,2021-04-15 23:03:00,60,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,1,,,
600083,2021-04-15 23:03:00,300,Lazar Mathew,1003,us mail,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3211,2024,0,,5,,,
9000184,2021-04-15 23:03:00,180,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2445,,0,,3,,,
