Potential Name,Potential Owner,Created Time,Closing Date,Amount,Expected Revenue,Stage,Forecast Type,Type,Lead Source,Probability,Age in Days,Age Tier,Amount Tier,LEADID,Tasks Involved,Events Involved,Calls Involved,Activities Involved,Campaign Id
"Chastain, Harvey",Lazar Mathew,"01 Apr, 2021 00:02:00","15 Apr, 2021 00:03:00","$222,900.00","$250,300.00",Closed Won,Won,New Business,Trade Show,100,14,1. 0 - 60 days,5. Above 40K,1695,No,No,No,No,24000019
"Brown, Norman",Harold Pawlan,"31 Mar, 2021 00:02:00","07 Apr, 2021 00:03:00","$12,800.00","$18,100.00",Proposal/Price Quote,Open,Existing Business,Employee Referral,100,7,1. 0 - 60 days,"2. $10,001 - $20K",1933,No,No,No,No,24000025
"Vansickle, Francis",Tina Thomas,"31 Mar, 2021 00:02:00","07 Apr, 2021 00:03:00","$84,000.00","$96,100.00",Closed Lost,Lost,New Business,Web Research,100,7,1. 0 - 60 days,5. Above 40K,1946,No,No,No,No,24000026
"Tolentino, Deborah",Santa Cruz Clara,"31 Mar, 2021 00:02:00","07 May, 2021 00:03:00","$215,800.00","$228,050.00",Qualification,Open,New Business,Web Research,80,37,1. 0 - 60 days,5. Above 40K,1443,No,No,No,No,24000011
"Johnston, Rose",Harold Pawlan,"31 Mar, 2021 00:02:00","08 Apr, 2021 00:03:00","$242,200.00","$227,800.00",Closed Won,Won,New Business,Web Research,75,8,1. 0 - 60 days,5. Above 40K,1847,No,No,No,No,24000023
"Brown, Irvin",Jasmine Frank,"30 Mar, 2021 00:02:00","05 Apr, 2021 00:03:00","$5,300.00","$7,700.00",Closed Won,Won,Existing Business,Web Research,100,6,1. 0 - 60 days,1. 0 - $10K,1470,No,No,No,No,24000012
"Guth, Laura",Augustine Paul,"30 Mar, 2021 00:02:00","10 May, 2021 00:03:00","$9,400.00","$16,700.00",Needs Analysis,Open,New Business,Trade Show,20,41,1. 0 - 60 days,1. 0 - $10K,1793,No,No,No,No,24000022
"Graham, Brett",Lazar Mathew,"30 Mar, 2021 00:02:00","13 Apr, 2021 00:03:00","$84,800.00","$108,950.00",Qualification,Open,New Business,Cold Call,0,14,1. 0 - 60 days,5. Above 40K,1778,No,No,No,No,24000022
"Ruiz, Christopher",Augustine Paul,"30 Mar, 2021 00:02:00","05 May, 2021 00:03:00","$119,200.00","$101,000.00",Prospect,Open,New Business,Sales Mail Alias,100,36,1. 0 - 60 days,5. Above 40K,1730,No,No,No,No,24000021
"Jones, Nathan",Rozario Diego,"29 Mar, 2021 00:02:00","29 Apr, 2021 00:03:00","$25,600.00","$28,700.00",Closed Lost,Lost,New Business,Web Research,25,31,1. 0 - 60 days,"3. $20,001 - $30K",1479,No,No,No,No,24000012
"Phillips, Sharon",Santa Cruz Clara,"28 Mar, 2021 00:02:00","03 May, 2021 00:03:00","$17,500.00","$19,550.00",Initial Offer,Open,Existing Business,Advertisement,100,36,1. 0 - 60 days,"2. $10,001 - $20K",1939,No,No,No,No,24000025
"James, Xuan",Tina Thomas,"28 Mar, 2021 00:02:00","29 Apr, 2021 00:03:00","$19,800.00","$13,200.00",Closed Won,Won,New Business,Employee Referral,100,32,1. 0 - 60 days,"2. $10,001 - $20K",1797,No,No,No,No,24000022
"Bidwell, Mark",Lazar Mathew,"28 Mar, 2021 00:02:00","29 Apr, 2021 00:03:00","$6,300.00","$4,650.00",Initial Offer,Open,Existing Business,Advertisement,0,32,1. 0 - 60 days,1. 0 - $10K,1580,No,No,No,No,24000015
"Livingston, Hector",Thomas Mondrake,"28 Mar, 2021 00:02:00","28 Apr, 2021 00:03:00","$20,700.00","$19,900.00",Prospect,Open,Existing Business,Trade Show,20,31,1. 0 - 60 days,"3. $20,001 - $30K",1451,Yes,Yes,No,Yes,24000011
"Robinson, Shirley",David Love,"28 Mar, 2021 00:02:00","28 Apr, 2021 00:03:00","$212,500.00","$227,800.00",Qualification,Open,Existing Business,Cold Call,100,31,1. 0 - 60 days,5. Above 40K,1554,No,No,No,No,24000015
"Slocum, Raymond",Lazar Mathew,"27 Mar, 2021 00:02:00","21 Apr, 2021 00:03:00","$16,800.00","$25,000.00",Closed Lost,Lost,New Business,Cold Call,100,25,1. 0 - 60 days,"2. $10,001 - $20K",1796,No,No,No,No,24000022
"Scott, Leonard",Thomas Mondrake,"27 Mar, 2021 00:02:00","02 May, 2021 00:03:00","$212,100.00","$229,050.00",Prospect,Open,Existing Business,Public Relations,0,36,1. 0 - 60 days,5. Above 40K,1449,No,No,No,No,24000011
"Speakman, Amy",Rozario Diego,"27 Mar, 2021 00:02:00","27 Apr, 2021 00:03:00","$211,700.00","$209,600.00",Initial Offer,Open,Existing Business,Web Research,80,31,1. 0 - 60 days,5. Above 40K,1587,No,No,No,No,24000015
"Bergman, Amy",Augustine Paul,"26 Mar, 2021 00:02:00","16 May, 2021 00:04:00","$15,600.00","$14,200.00",Prospect,Open,Existing Business,Advertisement,90,51,1. 0 - 60 days,"2. $10,001 - $20K",1472,No,No,No,No,24000012
"Walker, Sarah",Rozario Diego,"26 Mar, 2021 00:02:00","20 Apr, 2021 00:03:00","$95,500.00","$96,550.00",Initial Offer,Open,New Business,Trade Show,100,25,1. 0 - 60 days,5. Above 40K,1442,No,No,No,No,24000011
"Taylor, Errol",Pete Zachariah,"26 Mar, 2021 00:02:00","06 May, 2021 00:03:00","$118,800.00","$104,150.00",Proposal/Price Quote,Open,Existing Business,OnlineStore,20,41,1. 0 - 60 days,5. Above 40K,1625,Yes,Yes,No,Yes,24000016
"Long, Troy",Jasmine Frank,"26 Mar, 2021 00:02:00","20 May, 2021 00:04:00","$214,400.00","$222,400.00",Closed Won,Won,New Business,Cold Call,90,55,1. 0 - 60 days,5. Above 40K,1868,No,No,No,No,24000023
"Oxley, Thelma",Santa Cruz Clara,"26 Mar, 2021 00:02:00","26 Apr, 2021 00:03:00","$7,700.00","$8,800.00",Prospect,Open,New Business,External Referral,100,31,1. 0 - 60 days,1. 0 - $10K,1727,No,No,No,No,24000021
"Stach, Allan",Augustine Paul,"26 Mar, 2021 00:02:00","25 Apr, 2021 00:03:00","$32,800.00","$28,300.00",Closed Lost,Lost,Existing Business,Web Research,100,30,1. 0 - 60 days,"4. $30,001 - $40K",1929,No,No,No,No,24000024
"Romero, Ashley",Jasmine Frank,"26 Mar, 2021 00:02:00","04 May, 2021 00:03:00","$13,000.00","$12,500.00",Prospect,Open,New Business,Advertisement,100,39,1. 0 - 60 days,"2. $10,001 - $20K",1805,No,No,No,No,24000022
"Rodney, Robert",Roger Terrence,"25 Mar, 2021 00:02:00","05 May, 2021 00:03:00","$11,400.00","$20,200.00",Closed Won,Won,Existing Business,Web Research,25,41,1. 0 - 60 days,"2. $10,001 - $20K",1534,No,No,No,No,24000015
"Marquez, Meghan",Tina Thomas,"25 Mar, 2021 00:02:00","21 Apr, 2021 00:03:00","$23,500.00","$18,500.00",Prospect,Open,New Business,External Referral,100,27,1. 0 - 60 days,"3. $20,001 - $30K",1816,No,No,No,No,24000023
"Cantu, Kirk",Tina Thomas,"24 Mar, 2021 00:01:00","03 May, 2021 00:03:00","$18,500.00","$31,300.00",Closed Won,Won,New Business,OnlineStore,90,40,1. 0 - 60 days,"2. $10,001 - $20K",1724,No,No,No,No,24000021
"Evans, Megan",David Love,"23 Mar, 2021 00:01:00","22 Apr, 2021 00:03:00","$13,900.00","$17,100.00",Closed Lost,Lost,New Business,Advertisement,25,30,1. 0 - 60 days,"2. $10,001 - $20K",1858,No,No,No,No,24000023
"Parrish, Melanie",Tina Thomas,"23 Mar, 2021 00:01:00","19 Apr, 2021 00:03:00","$123,600.00","$116,000.00",Needs Analysis,Open,Existing Business,OnlineStore,20,27,1. 0 - 60 days,5. Above 40K,1822,No,No,No,No,24000023
"Watts, Michelle",Roger Terrence,"23 Mar, 2021 00:01:00","30 Apr, 2021 00:03:00","$8,900.00","$7,300.00",Prospect,Open,New Business,Trade Show,20,38,1. 0 - 60 days,1. 0 - $10K,1524,No,No,No,No,24000014
"Jackson, Jason",Lazar Mathew,"22 Mar, 2021 00:01:00","26 Apr, 2021 00:03:00","$21,300.00","$32,800.00",Initial Offer,Open,Existing Business,Cold Call,25,35,1. 0 - 60 days,"3. $20,001 - $30K",1940,No,No,No,No,24000026
"Keller, William",Tina Thomas,"22 Mar, 2021 00:01:00","19 Apr, 2021 00:03:00","$84,000.00","$98,450.00",Closed Lost,Lost,New Business,Partner,0,28,1. 0 - 60 days,5. Above 40K,1701,No,No,No,No,24000019
"Hecht, Travis",Jasmine Frank,"22 Mar, 2021 00:01:00","19 Apr, 2021 00:03:00","$249,000.00","$220,900.00",Closed Won,Won,New Business,External Referral,0,28,1. 0 - 60 days,5. Above 40K,1942,No,No,No,No,24000026
"Watkins, Dale",David Love,"22 Mar, 2021 00:01:00","14 Apr, 2021 00:03:00","$9,500.00","$13,550.00",Closed Won,Won,New Business,Partner,0,23,1. 0 - 60 days,1. 0 - $10K,1674,No,No,No,No,24000018
"Lambert, Kyle",Augustine Paul,"21 Mar, 2021 00:01:00","20 Apr, 2021 00:03:00","$214,800.00","$248,450.00",Proposal/Price Quote,Open,Existing Business,External Referral,100,30,1. 0 - 60 days,5. Above 40K,1537,No,No,No,No,24000015
"Madewell, Tom",Thomas Mondrake,"21 Mar, 2021 00:01:00","17 Apr, 2021 00:03:00","$247,000.00","$215,250.00",Negotiation/Review,Open,New Business,Employee Referral,10,27,1. 0 - 60 days,5. Above 40K,1770,No,No,No,No,24000022
"Hartman, Harry",David Love,"21 Mar, 2021 00:01:00","07 May, 2021 00:03:00","$8,800.00","$15,650.00",Prospect,Open,New Business,Employee Referral,100,47,1. 0 - 60 days,1. 0 - $10K,1663,No,No,No,No,24000017
"Stoddard, Donald",Jasmine Frank,"21 Mar, 2021 00:01:00","20 Apr, 2021 00:03:00","$237,400.00","$201,900.00",Closed Lost,Lost,Existing Business,Trade Show,100,30,1. 0 - 60 days,5. Above 40K,1756,No,No,No,No,24000021
"Garrison, Juanita",Santa Cruz Clara,"20 Mar, 2021 00:01:00","26 Apr, 2021 00:03:00","$11,000.00","$15,500.00",Closed Won,Won,New Business,Partner,100,37,1. 0 - 60 days,"2. $10,001 - $20K",1719,Yes,Yes,No,Yes,24000021
"Holder, Jennifer",Harold Pawlan,"20 Mar, 2021 00:01:00","20 Apr, 2021 00:03:00","$22,700.00","$26,000.00",Initial Offer,Open,Existing Business,Cold Call,0,31,1. 0 - 60 days,"3. $20,001 - $30K",1509,No,No,No,No,24000014
"Carroll, Keneth",Augustine Paul,"19 Mar, 2021 00:01:00","07 May, 2021 00:03:00","$27,200.00","$22,700.00",Closed Lost,Lost,Existing Business,OnlineStore,100,49,1. 0 - 60 days,"3. $20,001 - $30K",1507,No,No,No,No,24000012
"Mincy, Edythe",Santa Cruz Clara,"19 Mar, 2021 00:01:00","13 Apr, 2021 00:02:00","$13,400.00","$13,000.00",Qualification,Open,Existing Business,Employee Referral,0,25,1. 0 - 60 days,"2. $10,001 - $20K",1501,No,No,No,No,24000012
"Canavan, Kelly",Roger Terrence,"19 Mar, 2021 00:01:00","03 May, 2021 00:03:00","$90,900.00","$96,250.00",Initial Offer,Open,Existing Business,Public Relations,20,45,1. 0 - 60 days,5. Above 40K,1899,No,No,No,No,24000024
"Jackson, Brian",Jasmine Frank,"18 Mar, 2021 00:01:00","22 Apr, 2021 00:03:00","$7,300.00","$4,450.00",Closed Won,Won,Existing Business,Employee Referral,100,35,1. 0 - 60 days,1. 0 - $10K,1959,No,No,No,No,24000026
"Johnson, Kimberly",Rozario Diego,"17 Mar, 2021 00:01:00","20 Apr, 2021 00:03:00","$6,400.00","$6,400.00",Closed Lost,Lost,Existing Business,Trade Show,100,34,1. 0 - 60 days,1. 0 - $10K,1632,Yes,No,No,Yes,24000016
"Butler, Martha",Harold Pawlan,"17 Mar, 2021 00:01:00","02 May, 2021 00:03:00","$107,800.00","$129,050.00",Closed Won,Won,Existing Business,OnlineStore,0,46,1. 0 - 60 days,5. Above 40K,1535,No,No,No,No,24000015
"Brown, Wesley",Tina Thomas,"17 Mar, 2021 00:01:00","03 May, 2021 00:03:00","$132,000.00","$100,600.00",Closed Won,Won,New Business,Advertisement,20,47,1. 0 - 60 days,5. Above 40K,1957,No,No,No,No,24000026
"Brock, Jennifer",Rozario Diego,"17 Mar, 2021 00:01:00","11 Apr, 2021 00:02:00","$89,200.00","$104,000.00",Qualification,Open,New Business,Web Research,100,25,1. 0 - 60 days,5. Above 40K,1705,No,No,No,No,24000020
"Woody, Agustin",David Love,"17 Mar, 2021 00:01:00","17 Apr, 2021 00:03:00","$91,100.00","$92,250.00",Closed Lost,Lost,New Business,Employee Referral,0,31,1. 0 - 60 days,5. Above 40K,1708,No,No,No,No,24000020
"Sheets, Jamie",David Love,"16 Mar, 2021 00:01:00","13 Apr, 2021 00:02:00","$18,100.00","$27,100.00",Closed Won,Won,New Business,Partner,100,28,1. 0 - 60 days,"2. $10,001 - $20K",1907,No,No,No,No,24000024
"Kiernan, Shawn",Rozario Diego,"16 Mar, 2021 00:01:00","27 Apr, 2021 00:03:00","$14,700.00","$20,450.00",Closed Won,Won,New Business,Cold Call,100,42,1. 0 - 60 days,"2. $10,001 - $20K",1464,No,No,No,No,24000012
"Caldwell, Bonnie",Jasmine Frank,"15 Mar, 2021 00:01:00","15 Apr, 2021 00:03:00","$89,900.00","$100,200.00",Initial Offer,Open,New Business,Public Relations,25,31,1. 0 - 60 days,5. Above 40K,1782,No,No,No,No,24000022
"McPherson, Kathy",Rozario Diego,"15 Mar, 2021 00:01:00","13 Apr, 2021 00:02:00","$20,400.00","$23,300.00",Initial Offer,Open,Existing Business,Employee Referral,25,29,1. 0 - 60 days,"3. $20,001 - $30K",1645,No,No,No,No,24000016
"Mullen, Patrick",Rozario Diego,"14 Mar, 2021 00:01:00","17 Apr, 2021 00:03:00","$19,200.00","$16,800.00",Initial Offer,Open,Existing Business,External Referral,25,34,1. 0 - 60 days,"2. $10,001 - $20K",1583,Yes,Yes,No,Yes,24000015
"McDaniel, Ross",Harold Pawlan,"13 Mar, 2021 00:01:00","07 May, 2021 00:03:00","$229,200.00","$243,150.00",Initial Offer,Open,Existing Business,Public Relations,75,55,1. 0 - 60 days,5. Above 40K,1585,No,No,No,No,24000015
"Custer, Norman",Thomas Mondrake,"12 Mar, 2021 00:01:00","20 Apr, 2021 00:03:00","$21,700.00","$24,800.00",Closed Won,Won,New Business,Public Relations,100,39,1. 0 - 60 days,"3. $20,001 - $30K",1522,No,No,No,No,24000014
"Langford, Sonia",Rozario Diego,"12 Mar, 2021 00:01:00","23 Apr, 2021 00:03:00","$91,200.00","$106,700.00",Qualification,Open,New Business,Partner,90,42,1. 0 - 60 days,5. Above 40K,1457,No,No,No,No,24000012
"Fox, Joshua",David Love,"12 Mar, 2021 00:01:00","05 Apr, 2021 00:02:00","$5,700.00","$6,400.00",Closed Won,Won,New Business,Partner,25,24,1. 0 - 60 days,1. 0 - $10K,1952,No,No,No,No,24000026
"Matthews, Judith",Rozario Diego,"12 Mar, 2021 00:01:00","08 Apr, 2021 00:02:00","$5,200.00","$6,700.00",Closed Lost,Lost,Existing Business,Sales Mail Alias,100,27,1. 0 - 60 days,1. 0 - $10K,1631,No,No,No,No,24000016
"Hodges, Ann",Santa Cruz Clara,"11 Mar, 2021 00:01:00","28 Apr, 2021 00:03:00","$13,400.00","$16,900.00",Closed Won,Won,New Business,OnlineStore,20,48,1. 0 - 60 days,"2. $10,001 - $20K",1669,No,No,No,No,24000018
"Charles, Charles",Roger Terrence,"11 Mar, 2021 00:01:00","08 Apr, 2021 00:02:00","$14,600.00","$11,700.00",Prospect,Open,Existing Business,Employee Referral,100,28,1. 0 - 60 days,"2. $10,001 - $20K",1437,No,No,No,No,24000011
"Boles, Courtney",Harold Pawlan,"11 Mar, 2021 00:01:00","09 May, 2021 00:03:00","$224,700.00","$227,250.00",Closed Lost,Lost,Existing Business,OnlineStore,0,59,1. 0 - 60 days,5. Above 40K,1651,No,No,No,No,24000017
"Hampton, Alberta",Santa Cruz Clara,"11 Mar, 2021 00:01:00","14 Apr, 2021 00:03:00","$20,500.00","$28,300.00",Closed Won,Won,New Business,OnlineStore,100,34,1. 0 - 60 days,"3. $20,001 - $30K",1795,No,No,No,No,24000022
"Boling, Marvin",Thomas Mondrake,"10 Mar, 2021 00:01:00","04 May, 2021 00:03:00","$91,400.00","$99,700.00",Closed Won,Won,Existing Business,Public Relations,0,55,1. 0 - 60 days,5. Above 40K,1630,No,No,No,No,24000016
"Dollar, Richard",David Love,"10 Mar, 2021 00:01:00","04 May, 2021 00:03:00","$202,200.00","$225,550.00",Closed Won,Won,New Business,External Referral,25,55,1. 0 - 60 days,5. Above 40K,1529,No,No,No,No,24000015
"Bird, Virginia",Tina Thomas,"10 Mar, 2021 00:01:00","04 Apr, 2021 00:02:00","$31,600.00","$33,300.00",Closed Won,Won,New Business,Trade Show,75,25,1. 0 - 60 days,"4. $30,001 - $40K",1614,No,No,No,No,24000016
"Vierra, Garry",Santa Cruz Clara,"10 Mar, 2021 00:01:00","01 Apr, 2021 00:02:00","$6,500.00","$10,250.00",Closed Won,Won,New Business,Partner,100,22,1. 0 - 60 days,1. 0 - $10K,1665,No,No,No,No,24000018
"Devries, Armando",Rozario Diego,"10 Mar, 2021 00:01:00","08 May, 2021 00:03:00","$205,600.00","$201,850.00",Initial Offer,Open,Existing Business,Trade Show,75,59,1. 0 - 60 days,5. Above 40K,1623,No,No,No,No,24000016
"Beasley, Ike",Lazar Mathew,"10 Mar, 2021 00:01:00","23 Apr, 2021 00:03:00","$204,800.00","$229,300.00",Qualification,Open,New Business,Web Research,20,44,1. 0 - 60 days,5. Above 40K,1893,No,No,No,No,24000024
"Louis, Samuel",Jasmine Frank,"09 Mar, 2021 00:01:00","22 Apr, 2021 00:03:00","$15,300.00","$15,850.00",Closed Won,Won,Existing Business,OnlineStore,100,44,1. 0 - 60 days,"2. $10,001 - $20K",1903,No,No,No,No,24000024
"Guerra, Lester",Jasmine Frank,"09 Mar, 2021 00:01:00","08 May, 2021 00:03:00","$6,600.00","$6,050.00",Closed Won,Won,New Business,Sales Mail Alias,0,60,1. 0 - 60 days,1. 0 - $10K,1685,No,No,No,No,24000019
"Ortiz, Scott",Lazar Mathew,"09 Mar, 2021 00:01:00","31 Mar, 2021 00:02:00","$20,600.00","$22,000.00",Closed Won,Won,Existing Business,Cold Call,100,22,1. 0 - 60 days,"3. $20,001 - $30K",1958,No,No,No,No,24000026
"Hill, Robbie",Harold Pawlan,"09 Mar, 2021 00:01:00","13 Apr, 2021 00:02:00","$13,400.00","$20,450.00",Needs Analysis,Open,Existing Business,Advertisement,80,35,1. 0 - 60 days,"2. $10,001 - $20K",1741,No,No,No,No,24000021
"McCray, Aaron",Augustine Paul,"08 Mar, 2021 00:01:00","08 Apr, 2021 00:02:00","$84,800.00","$62,300.00",Closed Won,Won,Existing Business,Sales Mail Alias,100,31,1. 0 - 60 days,5. Above 40K,1514,No,No,No,No,24000014
"Hahn, Chris",Santa Cruz Clara,"08 Mar, 2021 00:01:00","27 Apr, 2021 00:03:00","$83,400.00","$104,850.00",Closed Won,Won,New Business,Sales Mail Alias,20,50,1. 0 - 60 days,5. Above 40K,1873,No,No,No,No,24000024
"Manno, Mauricio",Thomas Mondrake,"07 Mar, 2021 00:01:00","08 Apr, 2021 00:02:00","$18,300.00","$13,200.00",Closed Won,Won,New Business,Employee Referral,25,32,1. 0 - 60 days,"2. $10,001 - $20K",1950,No,No,No,No,24000026
"Sims, Clarice",Augustine Paul,"07 Mar, 2021 00:01:00","27 Apr, 2021 00:03:00","$34,000.00","$34,300.00",Closed Lost,Lost,New Business,Advertisement,100,51,1. 0 - 60 days,"4. $30,001 - $40K",1679,No,No,No,No,24000019
"Nixon, Pauline",Augustine Paul,"05 Mar, 2021 00:01:00","04 May, 2021 00:03:00","$24,600.00","$24,300.00",Closed Won,Won,Existing Business,Advertisement,100,60,1. 0 - 60 days,"3. $20,001 - $30K",1750,No,No,No,No,24000021
"Jones, Matthew",Lazar Mathew,"05 Mar, 2021 00:01:00","04 Apr, 2021 00:02:00","$84,100.00","$93,350.00",Closed Won,Won,New Business,Cold Call,100,30,1. 0 - 60 days,5. Above 40K,1735,No,No,No,No,24000021
"Hicks, James",Santa Cruz Clara,"05 Mar, 2021 00:01:00","21 Apr, 2021 00:03:00","$18,600.00","$12,700.00",Needs Analysis,Open,New Business,Web Research,0,47,1. 0 - 60 days,"2. $10,001 - $20K",1794,No,No,No,No,24000022
"Pruitt, Larry",Tina Thomas,"05 Mar, 2021 00:01:00","03 Apr, 2021 00:02:00","$6,300.00","$8,600.00",Closed Won,Won,New Business,Public Relations,0,29,1. 0 - 60 days,1. 0 - $10K,1764,No,No,No,No,24000021
"Sparks, Luis",Jasmine Frank,"05 Mar, 2021 00:01:00","10 Apr, 2021 00:02:00","$14,500.00","$10,250.00",Closed Won,Won,Existing Business,Partner,20,36,1. 0 - 60 days,"2. $10,001 - $20K",1466,No,No,No,No,24000012
"Peterson, Kathleen",Lazar Mathew,"05 Mar, 2021 00:01:00","24 Apr, 2021 00:03:00","$32,500.00","$33,200.00",Closed Lost,Lost,New Business,Web Research,100,50,1. 0 - 60 days,"4. $30,001 - $40K",1461,No,No,No,No,24000012
"Tuttle, Rory",Rozario Diego,"05 Mar, 2021 00:01:00","08 May, 2021 00:03:00","$97,000.00","$106,150.00",Proposal/Price Quote,Open,New Business,Partner,0,64,2. 61 - 120 days,5. Above 40K,1710,No,No,No,No,24000020
"Slusser, Timothy",Pete Zachariah,"04 Mar, 2021 00:01:00","23 Apr, 2021 00:03:00","$80,600.00","$97,750.00",Qualification,Open,Existing Business,Sales Mail Alias,100,50,1. 0 - 60 days,5. Above 40K,1540,Yes,Yes,No,Yes,24000015
"Norwood, David",David Love,"04 Mar, 2021 00:01:00","05 Apr, 2021 00:02:00","$17,300.00","$10,350.00",Needs Analysis,Open,Existing Business,Cold Call,25,32,1. 0 - 60 days,"2. $10,001 - $20K",1914,No,No,No,No,24000024
