LEADID,Last Name,Company,Lead Owner,Email,Mobile,Website,Industry,Lead Source,Lead Status,Created Time,CONVERTED,month_Created Time1
3312,Hill,Standard Brands Paint Company,Jasmine Frank,MichaelVHill@superrito.com,704-728-0309,BloggerGame.com,Consulting,Employee Referral,Lost Lead,"26 Mar, 2021 00:03:00",Yes,March
2734,Sims,Star Interior Design,Santa Cruz Clara,MargaretJSims@fleckens.hu,650-572-8321,StreamSeat.com,Service Provider,Sales Mail Alias,Attempted to Contact,"26 Mar, 2021 00:02:00",No,March
4605,Perkins,The High Heelers,Jasmine Frank,GroverSPerkins@cuvox.de,240-304-2164,VendingPrograms.com,Education,Cold Call,Contacted,"25 Mar, 2021 00:02:00",Yes,March
4606,King,Jacob Reed and Sons,Rozario Diego,BettyAKing@armyspy.com,256-239-5364,GreatTheaters.com,Consulting,Cold Call,Not Contacted,"25 Mar, 2021 00:02:00",Yes,March
4608,Wagner,Sampson's,Roger Terrence,NormaIWagner@superrito.com,402-530-6007,PodTrade.com,Technology,Partner,Contact in Future,"25 Mar, 2021 00:02:00",Yes,March
4609,Deloach,CSK Auto,Augustine Paul,DenniseJDeloach@cuvox.de,512-948-4447,SiliconFinder.com,Government/Military,Cold Call,Contacted,"25 Mar, 2021 00:02:00",Yes,March
4612,Gonzales,Miller & Rhoads,Pete Zachariah,AnitaRGonzales@dayrep.com,412-319-7428,SongsTitle.com,Technology,Public Relations,Contact in Future,"25 Mar, 2021 00:02:00",Yes,March
4614,Sommerfield,Cuppy's Coffee,Harold Pawlan,TaunyaASommerfield@jourrapide.com,901-726-6214,SiteFlippin.com,Education,Trade Show,Contacted,"25 Mar, 2021 00:02:00",Yes,March
4615,Cronin,Kinney Shoes,Rozario Diego,DavidJCronin@rhyta.com,406-266-0485,ScannerFone.com,Communications,Online Store,Not Contacted,"25 Mar, 2021 00:02:00",Yes,March
4616,Hall,Big A Auto Parts,Jasmine Frank,CorneliusSHall@einrot.com,973-319-3131,PoweredPoint.com,Consulting,Advertisement,Pre Qualified,"25 Mar, 2021 00:02:00",Yes,March
4617,Putnam,Road Runner Lawn Services,Rozario Diego,LisaAPutnam@rhyta.com,563-359-5182,LiteMeal.com,IT Services,Web Research,Contact in Future,"25 Mar, 2021 00:02:00",Yes,March
4619,Turner,Sam Goody,Tina Thomas,IsmaelSTurner@rhyta.com,618-915-8619,BowlTeams.com,Service Provider,Advertisement,Junk Lead,"25 Mar, 2021 00:02:00",Yes,March
4620,Ford,John F. Lawhon,Jasmine Frank,JeffreyEFord@armyspy.com,212-210-4268,EclipseTool.com,Financial Services,Partner,Pre Qualified,"25 Mar, 2021 00:02:00",Yes,March
4622,Mack,Infinity Investment Plan,Rozario Diego,JohnDMack@gustr.com,917-610-6180,AlbertaChiropractors.com,Communications,Sales Mail Alias,Lost Lead,"25 Mar, 2021 00:02:00",Yes,March
4623,Greene,Prospa-Pal,Harold Pawlan,AnitaMGreene@armyspy.com,210-566-7599,DealerOdds.com,Consulting,Trade Show,Contacted,"25 Mar, 2021 00:02:00",Yes,March
3344,Palmer,Accord Investments,Augustine Paul,NancyTPalmer@dayrep.com,513-209-2116,InsuranceBlogging.com,Education,Advertisement,Contacted,"25 Mar, 2021 00:02:00",Yes,March
4624,Pedersen,Best Products,Pete Zachariah,DiannaVPedersen@rhyta.com,717-320-3368,SimplyComics.com,IT Services,Trade Show,Not Contacted,"25 Mar, 2021 00:02:00",Yes,March
3354,Moody,Chargepal,Rozario Diego,KristenRMoody@gustr.com,760-424-6595,GeoSpecials.com,Service Provider,Advertisement,Junk Lead,"25 Mar, 2021 00:02:00",Yes,March
3358,Reid,Profitpros,Thomas Mondrake,AndrewGReid@teleworm.us,605-720-3467,Dolls101.com,Communications,External Referral,Contacted,"25 Mar, 2021 00:02:00",No,March
2079,Hurd,EnviroSource Design,Roger Terrence,NancyJHurd@teleworm.us,816-309-1204,AppDealers.com,Communications,Sales Mail Alias,Contacted,"25 Mar, 2021 00:02:00",Yes,March
2089,Weller,Paul Harris,Roger Terrence,JeffreyMWeller@teleworm.us,707-797-6382,DesMoinesRentalCars.com,Technology,External Referral,Junk Lead,"25 Mar, 2021 00:02:00",No,March
3307,Pineda,Morrie Mages,Augustine Paul,PaulJPineda@rhyta.com,850-851-7420,DesMoinesHandyman.com,Pharma,Online Store,Contacted,"24 Mar, 2021 00:03:00",Yes,March
3311,Clark,HouseWorks!,Harold Pawlan,JonathanSClark@fleckens.hu,937-327-4640,FineKeywords.com,Government/Military,External Referral,Contact in Future,"24 Mar, 2021 00:03:00",Yes,March
3322,McBride,White Hen Pantry,Jasmine Frank,JerryGMcBride@gustr.com,270-913-7048,FileWipes.com,Pharma,Cold Call,Contacted,"24 Mar, 2021 00:03:00",No,March
2731,Kappler,Magna Solution,Pete Zachariah,DavidPKappler@armyspy.com,240-234-2566,PriceFusion.com,IT Services,Employee Referral,Contact in Future,"24 Mar, 2021 00:02:00",Yes,March
2739,Watson,A+ Investments,Harold Pawlan,StephenAWatson@superrito.com,612-824-8516,PunkExpo.com,Communications,Web Research,Pre Qualified,"24 Mar, 2021 00:02:00",Yes,March
3980,Gates,Rogers Peet,Harold Pawlan,MariaWGates@gustr.com,309-797-9029,GrassSale.com,Communications,Sales Mail Alias,Attempted to Contact,"24 Mar, 2021 00:02:00",Yes,March
3324,Johnson,Brendle's,Harold Pawlan,ZolaPJohnson@jourrapide.com,828-355-6720,MarriedConfessions.com,Pharma,Cold Call,Pre Qualified,"22 Mar, 2021 00:02:00",Yes,March
4003,Parry,Manu Connection,Pete Zachariah,CharlesDParry@fleckens.hu,203-854-6253,VoIPOnDemand.com,Education,Trade Show,Not Contacted,"21 Mar, 2021 00:02:00",Yes,March
3343,Robertson,Cuppy's Coffee,Harold Pawlan,RoseARobertson@gustr.com,618-663-2131,ScratchBlog.com,IT Services,Trade Show,Contact in Future,"18 Mar, 2021 00:02:00",Yes,March
2048,Gibson,Gamma Realty,Harold Pawlan,RobertMGibson@teleworm.us,813-716-1769,PurplePic.com,Communications,Advertisement,Contacted,"18 Mar, 2021 00:01:00",Yes,March
3305,Rose,Rainbow Bay Crafts,Santa Cruz Clara,DeeJRose@rhyta.com,217-575-5064,IRCPoint.com,Service Provider,Public Relations,Pre Qualified,"16 Mar, 2021 00:03:00",Yes,March
3998,Johnson,LaBelle's,David Love,KirkVJohnson@einrot.com,757-825-3654,RealtimeRank.com,Manufacturing,Partner,Junk Lead,"16 Mar, 2021 00:02:00",Yes,March
3319,Ring,Hanover Shoe,Jasmine Frank,DorothyERing@gustr.com,860-775-2707,PlainLust.com,Pharma,External Referral,Pre Qualified,"16 Mar, 2021 00:01:00",Yes,March
4626,Yu,Crown Auto Parts,Augustine Paul,LauraJYu@jourrapide.com,260-336-1895,BotCredit.com,Service Provider,Partner,Contact in Future,"15 Mar, 2021 00:01:00",Yes,March
4627,Kim,Rite Solution,Roger Terrence,ChristopherCKim@superrito.com,303-926-4327,PodInsider.com,Service Provider,Public Relations,Contacted,"15 Mar, 2021 00:01:00",Yes,March
4628,Humphrey,Total Quality,Jasmine Frank,CarlosJHumphrey@cuvox.de,314-544-7194,MillionaireSeeker.com,Pharma,Employee Referral,Junk Lead,"15 Mar, 2021 00:01:00",Yes,March
3361,Jenkins,Market Basket,Santa Cruz Clara,TylerNJenkins@teleworm.us,337-273-2765,SwingProfile.com,Service Provider,Sales Mail Alias,Contact in Future,"15 Mar, 2021 00:01:00",No,March
3362,Crouch,Sports Town USA,Santa Cruz Clara,CharlesBCrouch@teleworm.us,612-875-3479,OpenAdvertiser.com,Manufacturing,Public Relations,Contacted,"15 Mar, 2021 00:01:00",Yes,March
2096,Darley,Ole's,Rozario Diego,EdwardADarley@armyspy.com,714-340-8579,NaturePreview.com,IT Services,Sales Mail Alias,Contact in Future,"15 Mar, 2021 00:01:00",Yes,March
3991,Schumacher,Mars Music,Harold Pawlan,PennyDSchumacher@fleckens.hu,706-568-9651,LiveFundraising.com,IT Services,Employee Referral,Contact in Future,"14 Mar, 2021 00:01:00",Yes,March
2038,Weeks,Sounds of Soul Records & Tapes,Lazar Mathew,MelindaRWeeks@einrot.com,650-223-2878,PunkExpo.com,Service Provider,Public Relations,Lost Lead,"14 Mar, 2021 00:01:00",Yes,March
3340,Wallace,Dream Home Real Estate Service,Thomas Mondrake,ElizabethJWallace@rhyta.com,541-261-8538,MiracleSpeed.com,Education,Online Store,Contacted,"13 Mar, 2021 00:02:00",Yes,March
2056,Lathrop,John M. Smyth's Homemakers,Jasmine Frank,JacobGLathrop@einrot.com,831-702-6434,NetCamper.com,Consulting,Public Relations,Lost Lead,"13 Mar, 2021 00:01:00",Yes,March
3986,Brown,Tee Town,Tina Thomas,RhondaJBrown@rhyta.com,714-826-7039,FootballGreat.com,Manufacturing,Cold Call,Pre Qualified,"12 Mar, 2021 00:01:00",Yes,March
2721,Arellano,Briazz,Rozario Diego,KareemKArellano@dayrep.com,360-945-4546,MoviePins.com,Education,Sales Mail Alias,Pre Qualified,"11 Mar, 2021 00:01:00",Yes,March
4630,Clarke,Locost Accessories,Augustine Paul,ClydeAClarke@fleckens.hu,816-983-2139,PressHeads.com,Communications,Cold Call,Lost Lead,"10 Mar, 2021 00:01:00",Yes,March
4631,Purnell,Golden's Distributors,Harold Pawlan,JennaDPurnell@dayrep.com,203-961-0638,SitterSchedule.com,Financial Services,Trade Show,Contacted,"10 Mar, 2021 00:01:00",Yes,March
4633,Cardenas,Druther's,Pete Zachariah,ColinFCardenas@teleworm.us,706-827-8404,AssuranceAgents.com,Pharma,Partner,Pre Qualified,"10 Mar, 2021 00:01:00",Yes,March
4634,Phelps,Knockout Kickboxing,Jasmine Frank,SamuelAPhelps@einrot.com,775-421-9235,ThemeApps.com,Manufacturing,External Referral,Contact in Future,"10 Mar, 2021 00:01:00",Yes,March
4635,Lane,Custom Lawn Service,Lazar Mathew,JaneMLane@fleckens.hu,425-413-5108,TotalBears.com,Communications,Trade Show,Contacted,"10 Mar, 2021 00:01:00",Yes,March
3365,Gomez,Corpbay,Harold Pawlan,ThelmaDGomez@jourrapide.com,231-747-9970,MysteryFoods.com,Technology,Cold Call,Lost Lead,"10 Mar, 2021 00:01:00",Yes,March
3369,Daniels,Henry's,Roger Terrence,TheresaGDaniels@einrot.com,314-387-6679,CashTravels.com,Communications,Web Research,Contact in Future,"10 Mar, 2021 00:01:00",Yes,March
2105,Ybarra,Tradewell,Tina Thomas,ChrisGYbarra@fleckens.hu,541-870-8043,BlogCurrency.com,IT Services,Trade Show,Contacted,"10 Mar, 2021 00:01:00",Yes,March
3985,Spriggs,Gallenkamp,Thomas Mondrake,GeorgeCSpriggs@superrito.com,203-369-4788,RobotReader.com,Government/Military,Employee Referral,Not Contacted,"10 Mar, 2021 00:01:00",Yes,March
3337,Meadows,The Serendipity Dip,Thomas Mondrake,EstherFMeadows@gustr.com,215-884-0223,CelebrationTips.com,Communications,Sales Mail Alias,Pre Qualified,"09 Mar, 2021 00:02:00",Yes,March
3355,Hughes,Pointers,Rozario Diego,DouglassKHughes@superrito.com,503-434-4756,GripTrip.com,Pharma,Online Store,Pre Qualified,"09 Mar, 2021 00:02:00",Yes,March
3999,Minor,Modern Realty,Santa Cruz Clara,RichardPMinor@armyspy.com,309-649-2803,ChessVoice.com,Financial Services,Advertisement,Attempted to Contact,"09 Mar, 2021 00:01:00",Yes,March
4637,Tedford,Chargepal,David Love,CharlesFTedford@gustr.com,904-810-5840,AboutHD.com,Financial Services,Online Store,Attempted to Contact,"09 Mar, 2021 00:01:00",Yes,March
4638,Ventura,Your Choices,Jasmine Frank,HenryBVentura@cuvox.de,563-405-7138,NewMexicoInsuranceAgents.com,Communications,Advertisement,Pre Qualified,"09 Mar, 2021 00:01:00",Yes,March
4639,Haygood,Audio Aid,Lazar Mathew,NatalieMHaygood@armyspy.com,281-548-2300,DownloadJobs.com,Service Provider,Web Research,Contact in Future,"09 Mar, 2021 00:01:00",Yes,March
4640,Jensen,Pergament Home Centers,Lazar Mathew,RobertAJensen@teleworm.us,252-583-8909,TreeYard.com,Technology,External Referral,Contacted,"09 Mar, 2021 00:01:00",Yes,March
4642,Rector,ManPower,Lazar Mathew,RoseJRector@fleckens.hu,270-480-2976,SwapPoker.com,Manufacturing,Advertisement,Pre Qualified,"09 Mar, 2021 00:01:00",Yes,March
4644,Gregory,Susie's Casuals,David Love,TerryLGregory@einrot.com,323-953-9666,CivicHelp.com,Education,Trade Show,Contacted,"09 Mar, 2021 00:01:00",Yes,March
3374,Loera,Strength Gurus,Augustine Paul,KatrinaJLoera@fleckens.hu,412-805-0607,AutoLanguage.com,Service Provider,Sales Mail Alias,Contact in Future,"09 Mar, 2021 00:01:00",No,March
3377,Waller,HouseWorks!,Thomas Mondrake,LawrenceJWaller@gustr.com,503-646-7894,TechnologyNewspaper.com,Manufacturing,Advertisement,Pre Qualified,"09 Mar, 2021 00:01:00",Yes,March
2715,Leary,Payless Cashways,Tina Thomas,MarcusHLeary@einrot.com,707-996-9974,RecruiterMonthly.com,Communications,Web Research,Attempted to Contact,"07 Mar, 2021 00:02:00",Yes,March
3315,Bain,Chase Pitkin,Roger Terrence,EdwardEBain@fleckens.hu,270-452-2348,PrepaidPayroll.com,Financial Services,Web Research,Contact in Future,"06 Mar, 2021 00:01:00",No,March
3352,Cruz,Saturday Matinee,Roger Terrence,ChristopherLCruz@teleworm.us,630-483-3325,TwinGame.com,Education,Cold Call,Contact in Future,"04 Mar, 2021 00:02:00",Yes,March
3359,Sawyer,Delchamps,Rozario Diego,AaronCSawyer@gustr.com,559-223-6371,SuperbApps.com,Manufacturing,Partner,Not Contacted,"04 Mar, 2021 00:02:00",No,March
3994,Ogles,Chatham,Rozario Diego,KhadijahVOgles@gustr.com,231-369-7627,SydneyHair.com,Government/Military,Public Relations,Not Contacted,"04 Mar, 2021 00:01:00",Yes,March
4000,Jones,Fedco,David Love,WandaRJones@einrot.com,240-350-4481,WithoutWireless.com,Consulting,Sales Mail Alias,Contact in Future,"03 Mar, 2021 00:01:00",Yes,March
3303,Sorensen,Powerbod,Tina Thomas,FredrickESorensen@fleckens.hu,413-588-3583,FirmPolicy.com,Government/Military,Web Research,Lost Lead,"03 Mar, 2021 00:01:00",Yes,March
2040,Yetter,Wag's,Tina Thomas,JohnnyJYetter@einrot.com,336-896-0646,DemolitionRemoval.com,Pharma,Trade Show,Pre Qualified,"03 Mar, 2021 00:01:00",Yes,March
3984,Gutierrez,Indiewealth,Jasmine Frank,TaraJGutierrez@rhyta.com,513-349-4332,PokerProtocol.com,Communications,Employee Referral,Contacted,"03 Mar, 2021 00:01:00",Yes,March
2035,Marrero,Adaptas,Harold Pawlan,AmberBMarrero@gustr.com,503-804-3813,PlumbingDesigners.com,Financial Services,Employee Referral,Attempted to Contact,"02 Mar, 2021 00:01:00",Yes,March
3366,McGee,Chargepal,Harold Pawlan,EmmaJMcGee@superrito.com,614-241-4602,CardTribute.com,Government/Military,Sales Mail Alias,Contacted,"02 Mar, 2021 00:01:00",Yes,March
2066,Ellsworth,On Cue,Tina Thomas,AleishaPEllsworth@einrot.com,513-736-4543,ParisBasketball.com,Communications,Partner,Contacted,"01 Mar, 2021 00:02:00",Yes,March
2974,Ivey,Integra Wealth Planners,Lazar Mathew,KateCIvey@einrot.com,678-875-5917,VWarning.com,Manufacturing,Public Relations,Contact in Future,"01 Mar, 2021 00:01:00",Yes,March
4255,Culpepper,Wealth Zone Group,Pete Zachariah,GregoryHCulpepper@armyspy.com,423-335-7433,DictionarySearches.com,Service Provider,Employee Referral,Not Contacted,"01 Mar, 2021 00:01:00",Yes,March
2976,Otten,Childrens Bargain Town,Harold Pawlan,CeciliaCOtten@dayrep.com,317-804-8010,DiscountCommunities.com,Financial Services,Advertisement,Attempted to Contact,"01 Mar, 2021 00:01:00",Yes,March
4257,Rivenbark,Henry's Hamburgers,Lazar Mathew,MichaelJRivenbark@einrot.com,443-822-3334,GolfingMania.com,Financial Services,Online Store,Contact in Future,"01 Mar, 2021 00:01:00",Yes,March
2982,Arias,Laura Ashley Mother & Child,Santa Cruz Clara,MartinSArias@teleworm.us,716-951-6533,InsuranceBlogging.com,Education,Partner,Pre Qualified,"01 Mar, 2021 00:01:00",Yes,March
2988,Heath,Shoe Pavilion,Jasmine Frank,DennisJHeath@superrito.com,520-566-4424,RetroFlavor.com,IT Services,Sales Mail Alias,Lost Lead,"01 Mar, 2021 00:01:00",Yes,March
1709,Smith,Eagle Hardware & Garden,Lazar Mathew,DarrellBSmith@superrito.com,602-997-1843,CheapExpense.com,Government/Military,Web Research,Contact in Future,"01 Mar, 2021 00:01:00",No,March
4796,Vankirk,Body Fate,Lazar Mathew,RodneyBVankirk@armyspy.com,805-581-2111,PoliticalRewards.com,Pharma,Online Store,Contact in Future,"01 Mar, 2021 00:01:00",Yes,March
1725,Stanton,The Wiz,Jasmine Frank,DarrelDStanton@dayrep.com,845-510-9353,BottomStep.com,Government/Military,Sales Mail Alias,Not Contacted,"01 Mar, 2021 00:01:00",Yes,March
2266,Restivo,Audio Visions,Harold Pawlan,GaryGRestivo@jourrapide.com,917-605-6495,ReverseWords.com,Manufacturing,Trade Show,Contact in Future,"01 Mar, 2021 00:01:00",Yes,March
3316,Wallace,Magna Architectural Design,Thomas Mondrake,JoseDWallace@gustr.com,214-200-0079,FetchFilms.com,Consulting,Web Research,Contacted,"01 Mar, 2021 00:01:00",Yes,March
4239,Waters,Brown Derby,Augustine Paul,ToddMWaters@fleckens.hu,561-548-7617,CorporateBrain.com,Communications,Partner,Contact in Future,"01 Mar, 2021 00:01:00",Yes,March
4250,Dale,Fragrant Flower Lawn Services,Pete Zachariah,LauraJDale@teleworm.us,812-425-7593,LacrosseProperties.com,Manufacturing,Cold Call,Attempted to Contact,"28 Feb, 2021 00:01:00",Yes,February
2717,Richardson,Henry's Hamburgers,Rozario Diego,DeannaHRichardson@fleckens.hu,717-632-6357,BlinkCredit.com,Pharma,Public Relations,Contact in Future,"28 Feb, 2021 00:01:00",No,February
4265,Lawless,Plan Smart,Roger Terrence,DennisMLawless@cuvox.de,601-259-2598,RoboAge.com,Manufacturing,Web Research,Pre Qualified,"28 Feb, 2021 00:01:00",Yes,February
